matrix_type,algo,n,trial,s,sampling_ratio,rel_error,runtime_sec,speedup
Dense Gaussian,rmm_importance,512,1,51,0.1,3.1967165841477065,0.027191300003323704,35.239650176738074
Dense Gaussian,rmm_uniform,512,1,102,0.2,2.2373901962058818,0.007956699992064387,120.4283058206966
Dense Gaussian,rmm_importance,512,1,102,0.2,2.367553056565926,0.01185289997374639,80.84197977627906
Dense Gaussian,rmm_uniform,512,2,3,0.005,12.960853231503895,0.003943599993363023,264.5752869955324
Dense Gaussian,rmm_importance,512,2,3,0.005,13.032517306893258,0.00881259999005124,118.39628500300678
Dense Gaussian,rmm_uniform,512,2,5,0.01,10.129949553205808,0.0049041000311262906,212.75648812570728
Dense Gaussian,rmm_importance,512,2,5,0.01,10.079372205255,0.00990160001674667,105.37479783822053
Dense Gaussian,rmm_uniform,512,2,10,0.02,6.989978606763302,0.004870499949902296,214.2242297036738
Dense Gaussian,rmm_importance,512,2,10,0.02,7.1008558130098525,0.009566300024744123,109.06819745782637
Dense Gaussian,rmm_uniform,512,2,26,0.05,4.3816692494076666,0.004788800026290119,217.87902904935177
Dense Gaussian,rmm_importance,512,2,26,0.05,4.5000251569531455,0.010680600011255592,97.68918402899197
Dense Gaussian,rmm_uniform,512,2,51,0.1,3.124485148746365,0.005555399984586984,187.81349730611186
Dense Gaussian,rmm_importance,512,2,51,0.1,3.3865893276659214,0.011327499989420176,92.11027155277968
Dense Gaussian,rmm_uniform,512,2,102,0.2,2.2237872709584634,0.0071293999790214,146.34879556621794
Dense Gaussian,rmm_importance,512,2,102,0.2,2.1451834799792664,0.012212599976919591,85.43464143683309
Dense Gaussian,rmm_uniform,512,3,3,0.005,13.338066689803844,0.0038625000161118805,231.52841327273308
Dense Gaussian,rmm_importance,512,3,3,0.005,13.037561882185335,0.006843700015451759,130.67178543436748
Dense Gaussian,rmm_uniform,512,3,5,0.01,10.00205150365491,0.003283000027295202,272.3967385200017
Dense Gaussian,rmm_importance,512,3,5,0.01,10.07415308572658,0.006177200004458427,144.77085076585496
Dense Gaussian,rmm_uniform,512,3,10,0.02,7.100562533916477,0.003362800052855164,265.9327007078545
Dense Gaussian,rmm_importance,512,3,10,0.02,7.089213346277527,0.006491199950687587,137.76782517715577
Dense Gaussian,rmm_uniform,512,3,26,0.05,4.442825807293929,0.0035176000092178583,254.22972983080396
Dense Gaussian,rmm_importance,512,3,26,0.05,4.484617157003284,0.005979100009426475,149.56740957441693
Dense Gaussian,rmm_uniform,512,3,51,0.1,3.078562411598013,0.0048531999927945435,184.26574246353096
Dense Gaussian,rmm_importance,512,3,51,0.1,3.1977205171900973,0.009409000049345195,95.0450095978611
Dense Gaussian,rmm_uniform,512,3,102,0.2,2.3411229335336863,0.0059009999968111515,151.54694127767326
Dense Gaussian,rmm_importance,512,3,102,0.2,2.256946845992483,0.008737399999517947,102.3506420726564
Dense Gaussian,rmm_uniform,512,4,3,0.005,13.119098506519295,0.004407100030221045,180.39202525861933
Dense Gaussian,rmm_importance,512,4,3,0.005,13.046354561271583,0.00834290002239868,95.29128933997742
Dense Gaussian,rmm_uniform,512,4,5,0.01,9.927833916825838,0.004073899996001273,195.1461009718532
Dense Gaussian,rmm_importance,512,4,5,0.01,10.060954053777133,0.007419400033541024,107.1522894539854
Dense Gaussian,rmm_uniform,512,4,10,0.02,7.869331716655959,0.003872999979648739,205.26870749970922
Dense Gaussian,rmm_importance,512,4,10,0.02,7.095092534614323,0.007922500022687018,100.34783183241449
Dense Gaussian,rmm_uniform,512,4,26,0.05,4.682402792671959,0.004680100013501942,169.86938263612535
Dense Gaussian,rmm_importance,512,4,26,0.05,4.328048637057336,0.008685000007972121,91.53778920427708
